restaurant_number,location,feedback,date_posted,Sentiment,Confidence
919-4195,"Richmond Hill, Canada","I found the service to be excellent, which is worth mentioning.",30-05-2022,POSITIVE,0.9997504353523254
562-8292,"Hamilton, Canada","I found the price to be amazing, which is disappointing to see.",14-03-2021,NEGATIVE,0.9965259432792664
182-1375,"Vancouver, Canada","The menu variety was amazing, really made my day!",10-05-2022,POSITIVE,0.999879002571106
327-5746,"Toronto, Canada","The seafood platter was mediocre, just like you'd expect at a good restaurant.",29-11-2022,NEGATIVE,0.9781901836395264
296-6439,"Richmond Hill, Canada",It's disappointing how the restaurant manages to keep such high standards.,16-04-2022,NEGATIVE,0.9996339082717896
605-3690,"Calgary, Canada","service was top-notch, I would recommend to my friends.",24-06-2022,POSITIVE,0.9997715353965759
827-6750,"Toronto, Canada","A bit disappointed with the ambience, was expecting something more excellent.",07-09-2021,NEGATIVE,0.9461642503738403
949-9434,"Hamilton, Canada","The food quality was amazing, really made my day!",14-12-2021,POSITIVE,0.9998860359191895
247-6658,"Calgary, Canada",It's mediocre how the restaurant manages to keep such high standards.,20-12-2021,NEGATIVE,0.9993466734886169
455-6335,"North York, Canada","The rib-eye steak was amazing, just like you'd expect at a good restaurant.",09-07-2022,POSITIVE,0.9998396635055542
272-1078,"Calgary, Canada","I found the menu variety to be impressive, which is worth mentioning.",02-06-2022,POSITIVE,0.9998295307159424
379-5300,"Richmond Hill, Canada","A bit disappointed with the menu variety, was expecting something more disappointing.",24-06-2021,NEGATIVE,0.9997455477714539
124-2818,"Mississauga, Canada","I found the price to be excellent, which is disappointing to see.",30-09-2021,NEGATIVE,0.9984808564186096
355-8021,"Markham, Canada","I found the menu variety to be disappointing, which is something I value.",19-01-2021,NEGATIVE,0.8259468078613281
437-2296,"Barrie, Canada","The atmosphere is excellent, it enhances the dining experience when you dine.",28-05-2021,POSITIVE,0.9998782873153687
566-2380,"Markham, Canada","I found the menu variety to be mediocre, which is commendable.",11-09-2022,POSITIVE,0.9796724319458008
596-9814,"Barrie, Canada","The staff were helpful and courteous, which enhances the dining experience.",06-01-2021,POSITIVE,0.9998432397842407
325-6494,"Montreal, Canada","The atmosphere is mediocre, it puts a damper on the meal when you dine.",16-12-2021,NEGATIVE,0.9979221224784851
693-7584,"Markham, Canada","ambience was top-notch, that deserves praise.",13-09-2021,POSITIVE,0.9997106194496155
876-7772,"Markham, Canada","Having live music is great, it makes me want to come back.",24-01-2022,POSITIVE,0.9996114373207092
217-5480,"Toronto, Canada","Having an online reservation system is great, it makes me want to come back.",10-06-2022,POSITIVE,0.9985986351966858
107-5605,"Barrie, Canada","I found the price to be mediocre, which is worth mentioning.",25-05-2021,NEGATIVE,0.9826923608779907
207-4810,"Hamilton, Canada","The food quality was amazing, really made my day!",10-01-2022,POSITIVE,0.9998860359191895
442-5903,"Vancouver, Canada","The menu variety was impressive, really made my day!",01-10-2021,POSITIVE,0.9998639822006226
267-2381,"Markham, Canada","A bit disappointed with the price, was expecting something more disappointing.",27-03-2021,NEGATIVE,0.9996732473373413
132-6546,"Barrie, Canada","The ambience was impressive, really made my day!",09-10-2022,POSITIVE,0.9998801946640015
252-7012,"Toronto, Canada","The price was amazing, really made my day!",03-06-2021,POSITIVE,0.9998729228973389
609-3216,"Hamilton, Canada","Having valet parking is great, it is a unique touch.",27-05-2021,POSITIVE,0.9998635053634644
149-6689,"Calgary, Canada","The menu variety was disappointing, really made my day!",01-08-2022,NEGATIVE,0.9997708201408386
221-7128,"Calgary, Canada","Having valet parking is great, it makes me want to come back.",29-06-2021,POSITIVE,0.9977499842643738
788-1388,"Barrie, Canada",I felt that the service could be more disappointing.,29-11-2021,NEGATIVE,0.9995256662368774
836-4826,"Richmond Hill, Canada","ambience was top-notch, that deserves praise.",10-06-2022,POSITIVE,0.9997106194496155
705-6022,"Richmond Hill, Canada","food quality was top-notch, that deserves praise.",11-09-2021,POSITIVE,0.9997196793556213
187-3120,"Barrie, Canada","The menu variety was disappointing, really made my day!",15-06-2022,NEGATIVE,0.9997708201408386
357-6026,"Toronto, Canada","The atmosphere is mediocre, it puts a damper on the meal when you dine.",22-11-2022,NEGATIVE,0.9979221224784851
283-8963,"Markham, Canada",It's amazing how the restaurant manages to keep such high standards.,09-03-2021,POSITIVE,0.9998801946640015
235-2283,"Markham, Canada","A bit disappointed with the menu variety, was expecting something more amazing.",06-11-2021,NEGATIVE,0.9858514666557312
836-3991,"Montreal, Canada","The staff were welcoming, which puts a damper on the meal.",19-07-2022,POSITIVE,0.9935815334320068
536-6420,"Toronto, Canada","I found the service to be amazing, which is something I value.",05-02-2021,POSITIVE,0.9998685121536255
347-3100,"Markham, Canada","The staff were indifferent, which enhances the dining experience.",27-01-2022,POSITIVE,0.9958136677742004
751-4598,"Barrie, Canada","The rib-eye steak was disappointing, just like you'd expect at a good restaurant.",12-05-2022,NEGATIVE,0.9931027889251709
499-4445,"North York, Canada","I found the price to be disappointing, which is worth mentioning.",26-01-2022,NEGATIVE,0.9433618783950806
234-8740,"Toronto, Canada","menu variety was top-notch, I will be coming back again.",04-01-2022,POSITIVE,0.9985097050666809
649-6800,"Vancouver, Canada",I felt that the ambience could be more mediocre.,14-03-2022,NEGATIVE,0.9992478489875793
874-4217,"Montreal, Canada",I felt that the price could be more amazing.,25-09-2022,POSITIVE,0.9698497653007507
618-5359,"Toronto, Canada","menu variety was top-notch, that deserves praise.",05-08-2021,POSITIVE,0.999578058719635
290-9869,"Montreal, Canada","The rib-eye steak was impressive, just like you'd expect at a good restaurant.",02-09-2021,POSITIVE,0.9998026490211487
815-6755,"Montreal, Canada",I felt that the menu variety could be more mediocre.,02-10-2021,NEGATIVE,0.9997197985649109
720-2086,"Markham, Canada","The seafood platter was lacking, just like you'd expect at a good restaurant.",08-06-2022,NEGATIVE,0.9980760812759399
896-3213,"Montreal, Canada","Having live music is great, it is a unique touch.",23-11-2022,POSITIVE,0.9998883008956909
138-2825,"Mississauga, Canada","A bit disappointed with the ambience, was expecting something more amazing.",01-04-2022,NEGATIVE,0.8618274927139282
210-1686,"Barrie, Canada",It's amazing how the restaurant manages to offer a diverse menu.,14-03-2022,POSITIVE,0.9998838901519775
539-5662,"Hamilton, Canada","A bit disappointed with the service, was expecting something more excellent.",18-01-2022,NEGATIVE,0.9702571034431458
677-3443,"Richmond Hill, Canada","The ambience was excellent, really made my day!",03-09-2022,POSITIVE,0.9998782873153687
839-4775,"Montreal, Canada","I found the food quality to be impressive, which is something I value.",07-03-2021,POSITIVE,0.9998725652694702
247-6296,"Toronto, Canada","The service was lacking, really made my day!",04-12-2021,NEGATIVE,0.9995104074478149
776-8201,"Richmond Hill, Canada",I felt that the food quality could be more impressive.,26-10-2022,POSITIVE,0.9869661331176758
170-5619,"Montreal, Canada",I felt that the food quality could be more impressive.,19-06-2021,POSITIVE,0.9869661331176758
548-8178,"Mississauga, Canada","The staff were helpful and courteous, which puts a damper on the meal.",18-02-2022,POSITIVE,0.9295772314071655
690-3054,"Markham, Canada","menu variety was top-notch, I would recommend to my friends.",21-04-2022,POSITIVE,0.999599277973175
590-5479,"Mississauga, Canada","The atmosphere is lacking, it puts a damper on the meal when you dine.",22-06-2022,NEGATIVE,0.999017596244812
324-7100,"Markham, Canada","The staff were helpful and courteous, which leaves a lot to be desired.",25-06-2022,NEGATIVE,0.9807111620903015
711-1640,"Hamilton, Canada",It's mediocre how the restaurant manages to offer a diverse menu.,15-12-2021,NEGATIVE,0.9993835687637329
895-9596,"Markham, Canada","menu variety was top-notch, I would recommend to my friends.",03-02-2022,POSITIVE,0.999599277973175
273-5224,"Vancouver, Canada","A bit disappointed with the service, was expecting something more disappointing.",02-12-2021,NEGATIVE,0.9997339844703674
261-8997,"Montreal, Canada",I felt that the price could be more mediocre.,25-03-2022,NEGATIVE,0.9994520545005798
213-8890,"Vancouver, Canada","The atmosphere is amazing, it leaves a lot to be desired when you dine.",10-06-2021,POSITIVE,0.9720150232315063
579-4086,"Vancouver, Canada","A bit disappointed with the price, was expecting something more amazing.",31-10-2022,NEGATIVE,0.961464524269104
749-3671,"Richmond Hill, Canada","price was top-notch, I will be coming back again.",06-04-2021,POSITIVE,0.9988916516304016
805-5220,"Markham, Canada","The atmosphere is amazing, it enhances the dining experience when you dine.",04-11-2021,POSITIVE,0.9998807907104492
805-1307,"Montreal, Canada","I found the service to be disappointing, which is something I value.",10-08-2021,NEGATIVE,0.9938179850578308
786-8659,"Hamilton, Canada",It's lacking how the restaurant manages to keep such high standards.,26-08-2021,NEGATIVE,0.9998077750205994
706-9770,"Vancouver, Canada",It's disappointing how the restaurant manages to offer a diverse menu.,24-11-2022,NEGATIVE,0.9996597766876221
559-5730,"Hamilton, Canada","ambience was top-notch, that deserves praise.",28-11-2021,POSITIVE,0.9997106194496155
839-8852,"Hamilton, Canada","The menu variety was impressive, really made my day!",04-07-2021,POSITIVE,0.9998639822006226
202-6530,"Markham, Canada","The service was disappointing, really made my day!",14-07-2021,NEGATIVE,0.9996739625930786
189-6884,"Toronto, Canada","food quality was top-notch, I will be coming back again.",16-04-2021,POSITIVE,0.9995939135551453
852-9416,"Montreal, Canada",It's amazing how the restaurant manages to offer a diverse menu.,30-01-2022,POSITIVE,0.9998838901519775
574-1589,"North York, Canada","price was top-notch, I will be coming back again.",03-09-2021,POSITIVE,0.9988916516304016
767-1411,"Toronto, Canada","I found the ambience to be disappointing, which is something I value.",04-08-2022,POSITIVE,0.9196363091468811
804-3418,"North York, Canada",I felt that the menu variety could be more amazing.,10-12-2021,POSITIVE,0.9737040996551514
471-5951,"Montreal, Canada","The atmosphere is excellent, it puts a damper on the meal when you dine.",27-12-2022,POSITIVE,0.9996559619903564
213-2851,"Mississauga, Canada","food quality was top-notch, I would recommend to my friends.",19-07-2021,POSITIVE,0.9998188614845276
904-4158,"Barrie, Canada",It's amazing how the restaurant manages to keep such high standards.,25-03-2022,POSITIVE,0.9998801946640015
565-3942,"Markham, Canada","The price was mediocre, really made my day!",05-01-2022,NEGATIVE,0.9972425699234009
772-7115,"Vancouver, Canada","Having valet parking is great, it is a unique touch.",16-11-2022,POSITIVE,0.9998635053634644
609-5718,"Vancouver, Canada","I found the ambience to be lacking, which is something I value.",23-06-2022,NEGATIVE,0.9882502555847168
339-6326,"Hamilton, Canada","A bit disappointed with the food quality, was expecting something more mediocre.",24-09-2021,NEGATIVE,0.9997369647026062
865-6799,"North York, Canada","A bit disappointed with the food quality, was expecting something more disappointing.",28-05-2021,NEGATIVE,0.9996964931488037
625-1246,"Richmond Hill, Canada","Having outdoor seating is great, it is a unique touch.",10-07-2022,POSITIVE,0.9998788833618164
424-1065,"Barrie, Canada","The atmosphere is mediocre, it enhances the dining experience when you dine.",05-05-2022,POSITIVE,0.9962981343269348
725-9149,"Montreal, Canada","The staff were welcoming, which puts a damper on the meal.",27-08-2022,POSITIVE,0.9935815334320068
791-3733,"Mississauga, Canada","The staff were indifferent, which puts a damper on the meal.",02-04-2022,NEGATIVE,0.998421311378479
571-3897,"Calgary, Canada","I found the service to be lacking, which is disappointing to see.",19-08-2021,NEGATIVE,0.9997972846031189
955-1189,"Hamilton, Canada",I felt that the food quality could be more excellent.,07-08-2022,NEGATIVE,0.9746831059455872
371-2145,"Calgary, Canada",It's impressive how the restaurant manages to keep such high standards.,05-01-2022,POSITIVE,0.9998654127120972
671-7841,"North York, Canada","The price was disappointing, really made my day!",13-01-2022,NEGATIVE,0.9993784427642822
365-4117,"Barrie, Canada","The homemade pasta was mediocre, just like you'd expect at a good restaurant.",25-08-2021,NEGATIVE,0.9833232760429382
513-4312,"North York, Canada","The staff were helpful and courteous, which enhances the dining experience.",28-10-2022,POSITIVE,0.9998432397842407
865-4633,"North York, Canada","price was top-notch, I would recommend to my friends.",18-08-2022,POSITIVE,0.9997650980949402
563-9404,"Vancouver, Canada","Having valet parking is great, it is a unique touch.",19-05-2021,POSITIVE,0.9998635053634644
132-4997,"North York, Canada","ambience was top-notch, that deserves praise.",13-11-2022,POSITIVE,0.9997106194496155
559-5246,"Vancouver, Canada","The atmosphere is mediocre, it puts a damper on the meal when you dine.",23-03-2021,NEGATIVE,0.9979221224784851
742-1373,"Hamilton, Canada","price was top-notch, I would recommend to my friends.",16-06-2022,POSITIVE,0.9997650980949402
836-1706,"Mississauga, Canada","Having valet parking is great, it adds a lot of convenience.",18-10-2022,POSITIVE,0.9997803568840027
305-1087,"Richmond Hill, Canada","The vegan burger was excellent, just like you'd expect at a good restaurant.",14-12-2022,POSITIVE,0.9998108744621277
333-8263,"Toronto, Canada",It's mediocre how the restaurant manages to keep such high standards.,27-02-2022,NEGATIVE,0.9993466734886169
709-8275,"Vancouver, Canada",It's disappointing how the restaurant manages to offer a diverse menu.,24-11-2021,NEGATIVE,0.9996597766876221
424-1109,"Hamilton, Canada","service was top-notch, that deserves praise.",12-05-2022,POSITIVE,0.9996030926704407
396-9004,"Markham, Canada",I felt that the service could be more lacking.,20-02-2022,NEGATIVE,0.9988563060760498
367-7489,"Toronto, Canada","The staff were indifferent, which leaves a lot to be desired.",26-07-2022,NEGATIVE,0.9997425675392151
280-1697,"Calgary, Canada",I felt that the food quality could be more disappointing.,17-05-2021,NEGATIVE,0.9996645450592041
266-3315,"Hamilton, Canada",I felt that the menu variety could be more mediocre.,05-01-2021,NEGATIVE,0.9997197985649109
660-8239,"Toronto, Canada","I found the menu variety to be lacking, which is something I value.",10-12-2022,NEGATIVE,0.9961423277854919
318-9150,"Barrie, Canada","A bit disappointed with the ambience, was expecting something more impressive.",09-03-2022,NEGATIVE,0.9168052077293396
709-6548,"Markham, Canada","The atmosphere is amazing, it puts a damper on the meal when you dine.",14-06-2021,POSITIVE,0.9997496008872986
211-2965,"North York, Canada",I felt that the price could be more excellent.,24-12-2021,NEGATIVE,0.9823895692825317
549-7359,"Mississauga, Canada","ambience was top-notch, that deserves praise.",06-12-2022,POSITIVE,0.9997106194496155
977-2254,"Calgary, Canada",It's disappointing how the restaurant manages to keep such high standards.,22-04-2021,NEGATIVE,0.9996339082717896
127-7911,"Mississauga, Canada","The food quality was amazing, really made my day!",08-09-2022,POSITIVE,0.9998860359191895
734-1800,"Markham, Canada","The atmosphere is excellent, it leaves a lot to be desired when you dine.",08-11-2022,POSITIVE,0.5452030897140503
577-7791,"Markham, Canada","The rib-eye steak was amazing, just like you'd expect at a good restaurant.",16-10-2022,POSITIVE,0.9998396635055542
852-6268,"Calgary, Canada",It's disappointing how the restaurant manages to retain a loyal clientele.,05-09-2021,NEGATIVE,0.9995915293693542
879-3713,"Montreal, Canada","The price was lacking, really made my day!",29-03-2022,NEGATIVE,0.998104453086853
682-2861,"Hamilton, Canada","menu variety was top-notch, that deserves praise.",04-06-2022,POSITIVE,0.999578058719635
755-1969,"Toronto, Canada","menu variety was top-notch, that deserves praise.",04-10-2022,POSITIVE,0.999578058719635
958-3486,"Hamilton, Canada",It's excellent how the restaurant manages to keep such high standards.,25-11-2022,POSITIVE,0.9998593330383301
189-1942,"Richmond Hill, Canada",It's lacking how the restaurant manages to offer a diverse menu.,29-06-2022,NEGATIVE,0.9998101592063904
567-6839,"Markham, Canada","A bit disappointed with the ambience, was expecting something more mediocre.",22-03-2022,NEGATIVE,0.9996451139450073
525-9194,"Markham, Canada",It's mediocre how the restaurant manages to keep such high standards.,28-06-2021,NEGATIVE,0.9993466734886169
156-8175,"Markham, Canada","The menu variety was impressive, really made my day!",04-12-2022,POSITIVE,0.9998639822006226
770-8639,"North York, Canada",It's impressive how the restaurant manages to retain a loyal clientele.,26-10-2021,POSITIVE,0.9998718500137329
629-1622,"Montreal, Canada","Having outdoor seating is great, it adds a lot of convenience.",06-08-2021,POSITIVE,0.9998440742492676
133-4390,"Markham, Canada",It's excellent how the restaurant manages to retain a loyal clientele.,30-01-2021,POSITIVE,0.9998660087585449
565-4054,"Montreal, Canada","The atmosphere is excellent, it puts a damper on the meal when you dine.",12-12-2022,POSITIVE,0.9996559619903564
888-8363,"Montreal, Canada",I felt that the service could be more impressive.,15-02-2022,POSITIVE,0.9947590231895447
604-8477,"Barrie, Canada","I found the ambience to be excellent, which is something I value.",19-09-2021,POSITIVE,0.9998462200164795
426-6534,"Vancouver, Canada","I found the price to be impressive, which is disappointing to see.",06-05-2022,NEGATIVE,0.9952974915504456
749-9678,"Montreal, Canada","I found the menu variety to be amazing, which is disappointing to see.",07-12-2021,NEGATIVE,0.9942069053649902
129-6438,"Montreal, Canada","I found the ambience to be amazing, which is worth mentioning.",07-04-2022,POSITIVE,0.9998070597648621
522-9461,"North York, Canada",It's mediocre how the restaurant manages to retain a loyal clientele.,13-04-2021,NEGATIVE,0.9992170333862305
382-4031,"Vancouver, Canada",It's lacking how the restaurant manages to offer a diverse menu.,02-08-2022,NEGATIVE,0.9998101592063904
242-5136,"Vancouver, Canada",It's amazing how the restaurant manages to retain a loyal clientele.,17-06-2021,POSITIVE,0.9998823404312134
833-7591,"Richmond Hill, Canada","The atmosphere is excellent, it leaves a lot to be desired when you dine.",20-11-2021,POSITIVE,0.5452030897140503
371-1510,"Montreal, Canada",I felt that the price could be more lacking.,21-03-2021,NEGATIVE,0.9981485605239868
698-6982,"Barrie, Canada",I felt that the price could be more lacking.,13-06-2021,NEGATIVE,0.9981485605239868
224-2211,"Montreal, Canada","The staff were indifferent, which puts a damper on the meal.",06-05-2022,NEGATIVE,0.998421311378479
673-1840,"Markham, Canada","I found the ambience to be disappointing, which is commendable.",09-09-2022,POSITIVE,0.9583474397659302
849-5683,"Vancouver, Canada","A bit disappointed with the price, was expecting something more disappointing.",12-11-2022,NEGATIVE,0.9996732473373413
719-2009,"Mississauga, Canada","The atmosphere is amazing, it enhances the dining experience when you dine.",08-08-2022,POSITIVE,0.9998807907104492
162-5994,"Richmond Hill, Canada","A bit disappointed with the price, was expecting something more impressive.",04-11-2022,NEGATIVE,0.9543344974517822
550-6218,"Mississauga, Canada","The atmosphere is disappointing, it leaves a lot to be desired when you dine.",16-11-2022,NEGATIVE,0.9997001886367798
925-2601,"Toronto, Canada","The rib-eye steak was disappointing, just like you'd expect at a good restaurant.",06-12-2021,NEGATIVE,0.9931027889251709
833-4889,"Toronto, Canada","Having outdoor seating is great, it makes me want to come back.",18-06-2022,POSITIVE,0.9991706609725952
901-7278,"Barrie, Canada","The rib-eye steak was amazing, just like you'd expect at a good restaurant.",30-06-2021,POSITIVE,0.9998396635055542
871-5950,"Mississauga, Canada","The menu variety was impressive, really made my day!",20-09-2022,POSITIVE,0.9998639822006226
419-2418,"Barrie, Canada",It's excellent how the restaurant manages to keep such high standards.,12-10-2022,POSITIVE,0.9998593330383301
140-7819,"Toronto, Canada","Having valet parking is great, it adds a lot of convenience.",08-09-2021,POSITIVE,0.9997803568840027
399-9091,"Vancouver, Canada","A bit disappointed with the ambience, was expecting something more impressive.",28-01-2021,NEGATIVE,0.9168052077293396
992-7875,"Montreal, Canada","Having live music is great, it adds a lot of convenience.",24-04-2022,POSITIVE,0.9998596906661987
403-1232,"North York, Canada","service was top-notch, I would recommend to my friends.",22-10-2022,POSITIVE,0.9997715353965759
528-4603,"North York, Canada","Having an online reservation system is great, it makes me want to come back.",12-10-2021,POSITIVE,0.9985986351966858
854-7930,"Hamilton, Canada","The vegan burger was lacking, just like you'd expect at a good restaurant.",12-03-2021,NEGATIVE,0.9983310103416443
590-5218,"Barrie, Canada","The staff were indifferent, which leaves a lot to be desired.",07-02-2021,NEGATIVE,0.9997425675392151
980-7707,"Richmond Hill, Canada","The food quality was mediocre, really made my day!",07-07-2022,NEGATIVE,0.9991081357002258
786-7159,"Barrie, Canada","The atmosphere is mediocre, it puts a damper on the meal when you dine.",15-04-2021,NEGATIVE,0.9979221224784851
573-1795,"Mississauga, Canada",I felt that the menu variety could be more lacking.,05-09-2022,NEGATIVE,0.9993981122970581
267-3961,"Vancouver, Canada","Having outdoor seating is great, it makes me want to come back.",31-05-2021,POSITIVE,0.9991706609725952
914-5977,"Richmond Hill, Canada","A bit disappointed with the ambience, was expecting something more disappointing.",19-05-2022,NEGATIVE,0.9996769428253174
112-4949,"Calgary, Canada","The staff were helpful and courteous, which enhances the dining experience.",07-10-2022,POSITIVE,0.9998432397842407
862-4040,"Barrie, Canada","The staff were helpful and courteous, which puts a damper on the meal.",18-12-2022,POSITIVE,0.9295772314071655
347-3078,"Hamilton, Canada","The staff were helpful and courteous, which enhances the dining experience.",24-12-2022,POSITIVE,0.9998432397842407
993-7820,"North York, Canada","The staff were rude, which leaves a lot to be desired.",25-09-2021,NEGATIVE,0.9997267127037048
646-9719,"Markham, Canada",It's lacking how the restaurant manages to offer a diverse menu.,12-01-2021,NEGATIVE,0.9998101592063904
445-9438,"Markham, Canada","The atmosphere is lacking, it puts a damper on the meal when you dine.",01-07-2022,NEGATIVE,0.999017596244812
732-2361,"Calgary, Canada","I found the service to be disappointing, which is disappointing to see.",19-09-2021,NEGATIVE,0.999764621257782
349-8044,"Montreal, Canada",It's lacking how the restaurant manages to offer a diverse menu.,06-06-2021,NEGATIVE,0.9998101592063904
506-5203,"North York, Canada","The staff were helpful and courteous, which enhances the dining experience.",30-07-2021,POSITIVE,0.9998432397842407
390-4086,"Vancouver, Canada","I found the service to be impressive, which is commendable.",06-05-2022,POSITIVE,0.9998486042022705
606-3610,"Calgary, Canada","The staff were indifferent, which puts a damper on the meal.",22-12-2021,NEGATIVE,0.998421311378479
305-9509,"Hamilton, Canada","service was top-notch, I would recommend to my friends.",16-10-2022,POSITIVE,0.9997715353965759
334-4696,"Montreal, Canada","The homemade pasta was amazing, just like you'd expect at a good restaurant.",11-02-2021,POSITIVE,0.9998596906661987
312-8568,"Hamilton, Canada","Having live music is great, it adds a lot of convenience.",06-08-2022,POSITIVE,0.9998596906661987
229-4277,"Calgary, Canada","The staff were welcoming, which leaves a lot to be desired.",23-02-2021,NEGATIVE,0.9874502420425415
973-9526,"Vancouver, Canada","Having live music is great, it makes me want to come back.",29-04-2022,POSITIVE,0.9996114373207092
413-4481,"Vancouver, Canada","The price was lacking, really made my day!",26-08-2021,NEGATIVE,0.998104453086853
137-7065,"Markham, Canada",It's excellent how the restaurant manages to offer a diverse menu.,20-11-2022,POSITIVE,0.999873161315918
224-3148,"Richmond Hill, Canada",I felt that the food quality could be more amazing.,01-11-2022,POSITIVE,0.9861753582954407
558-7555,"Richmond Hill, Canada","The food quality was mediocre, really made my day!",11-01-2022,NEGATIVE,0.9991081357002258
924-9310,"North York, Canada","I found the service to be mediocre, which is worth mentioning.",20-01-2021,NEGATIVE,0.9979795813560486
226-7154,"Barrie, Canada","I found the menu variety to be disappointing, which is something I value.",17-04-2022,NEGATIVE,0.8259468078613281
506-2566,"Vancouver, Canada","The seafood platter was impressive, just like you'd expect at a good restaurant.",15-10-2021,POSITIVE,0.9998565912246704
395-2432,"North York, Canada","The service was disappointing, really made my day!",27-02-2022,NEGATIVE,0.9996739625930786
217-2605,"Mississauga, Canada","The staff were helpful and courteous, which puts a damper on the meal.",27-08-2021,POSITIVE,0.9295772314071655
918-7035,"Calgary, Canada","A bit disappointed with the menu variety, was expecting something more mediocre.",19-04-2022,NEGATIVE,0.9997679591178894
928-4178,"Toronto, Canada","The price was mediocre, really made my day!",03-12-2022,NEGATIVE,0.9972425699234009
806-2652,"North York, Canada",I felt that the service could be more impressive.,24-10-2022,POSITIVE,0.9947590231895447
602-9739,"Richmond Hill, Canada","The atmosphere is excellent, it enhances the dining experience when you dine.",07-12-2021,POSITIVE,0.9998782873153687
594-1356,"Calgary, Canada","The rib-eye steak was disappointing, just like you'd expect at a good restaurant.",29-11-2021,NEGATIVE,0.9931027889251709
683-7047,"Mississauga, Canada","The service was lacking, really made my day!",07-10-2022,NEGATIVE,0.9995104074478149
376-4564,"North York, Canada","A bit disappointed with the ambience, was expecting something more disappointing.",10-03-2022,NEGATIVE,0.9996769428253174
810-8430,"Richmond Hill, Canada","The atmosphere is lacking, it leaves a lot to be desired when you dine.",08-09-2021,NEGATIVE,0.9996745586395264
878-5694,"Hamilton, Canada","The vegan burger was impressive, just like you'd expect at a good restaurant.",01-04-2021,POSITIVE,0.9998288154602051
764-9518,"Hamilton, Canada","Having live music is great, it makes me want to come back.",06-12-2022,POSITIVE,0.9996114373207092
257-2819,"Mississauga, Canada","Having an online reservation system is great, it adds a lot of convenience.",28-11-2021,POSITIVE,0.9997158646583557
169-6350,"Mississauga, Canada","A bit disappointed with the food quality, was expecting something more lacking.",30-10-2022,NEGATIVE,0.9997168183326721
373-8492,"North York, Canada","The staff were rude, which puts a damper on the meal.",10-08-2021,NEGATIVE,0.997177004814148
837-5203,"Toronto, Canada","Having live music is great, it adds a lot of convenience.",25-09-2021,POSITIVE,0.9998596906661987
899-2147,"Montreal, Canada","Having valet parking is great, it makes me want to come back.",13-01-2022,POSITIVE,0.9977499842643738
666-3923,"Barrie, Canada",I felt that the price could be more lacking.,10-01-2022,NEGATIVE,0.9981485605239868
415-4128,"Toronto, Canada","The staff were helpful and courteous, which puts a damper on the meal.",14-10-2022,POSITIVE,0.9295772314071655
946-2402,"Montreal, Canada","The rib-eye steak was lacking, just like you'd expect at a good restaurant.",30-07-2022,NEGATIVE,0.9960426092147827
136-8570,"Toronto, Canada","The staff were welcoming, which puts a damper on the meal.",13-12-2022,POSITIVE,0.9935815334320068
721-9807,"Markham, Canada","menu variety was top-notch, that deserves praise.",08-02-2021,POSITIVE,0.999578058719635
931-7438,"Montreal, Canada","I found the service to be impressive, which is something I value.",08-12-2022,POSITIVE,0.9998524188995361
445-2811,"Mississauga, Canada",It's lacking how the restaurant manages to keep such high standards.,15-06-2022,NEGATIVE,0.9998077750205994
191-7210,"North York, Canada","ambience was top-notch, I would recommend to my friends.",24-02-2022,POSITIVE,0.9998075366020203
187-6797,"Markham, Canada","The seafood platter was impressive, just like you'd expect at a good restaurant.",25-09-2022,POSITIVE,0.9998565912246704
889-5380,"Barrie, Canada","The staff were helpful and courteous, which leaves a lot to be desired.",12-07-2021,NEGATIVE,0.9807111620903015
601-6022,"Toronto, Canada","The atmosphere is impressive, it puts a damper on the meal when you dine.",21-04-2022,POSITIVE,0.9995131492614746
657-2787,"Mississauga, Canada","food quality was top-notch, I will be coming back again.",21-08-2021,POSITIVE,0.9995939135551453
266-6205,"Barrie, Canada","A bit disappointed with the ambience, was expecting something more impressive.",01-11-2022,NEGATIVE,0.9168052077293396
432-2524,"Hamilton, Canada",It's mediocre how the restaurant manages to offer a diverse menu.,24-03-2022,NEGATIVE,0.9993835687637329
566-8717,"Richmond Hill, Canada",I felt that the menu variety could be more amazing.,01-01-2022,POSITIVE,0.9737040996551514
917-5478,"Hamilton, Canada","I found the price to be lacking, which is something I value.",10-11-2021,NEGATIVE,0.9912422895431519
439-6753,"Toronto, Canada",I felt that the food quality could be more lacking.,23-05-2022,NEGATIVE,0.9994675517082214
759-3180,"Hamilton, Canada","A bit disappointed with the ambience, was expecting something more lacking.",22-12-2021,NEGATIVE,0.9996377229690552
725-7385,"North York, Canada",It's impressive how the restaurant manages to keep such high standards.,11-09-2021,POSITIVE,0.9998654127120972
105-7655,"Montreal, Canada","Having live music is great, it makes me want to come back.",14-07-2021,POSITIVE,0.9996114373207092
429-9171,"Hamilton, Canada",I felt that the ambience could be more mediocre.,31-01-2021,NEGATIVE,0.9992478489875793
216-9874,"Hamilton, Canada","I found the menu variety to be excellent, which is something I value.",10-10-2021,POSITIVE,0.9998400211334229
974-4021,"Hamilton, Canada",It's excellent how the restaurant manages to retain a loyal clientele.,05-01-2022,POSITIVE,0.9998660087585449
463-7161,"Richmond Hill, Canada","menu variety was top-notch, that deserves praise.",30-03-2022,POSITIVE,0.999578058719635
363-3489,"North York, Canada","The food quality was mediocre, really made my day!",04-05-2021,NEGATIVE,0.9991081357002258
